Date,Close,High,Low,Open,Volume
2025-01-02,167.18251037597656,169.27489549132125,165.82395276360677,166.51810573593443,4148000
2025-01-03,170.52438354492188,171.18878817550402,167.58908870621607,167.80725322746986,3975500
2025-01-06,171.01028442382812,172.23001143414334,169.7508828831125,171.7044373918368,4980300
2025-01-07,170.87144470214844,172.24983949763072,169.35421932048084,170.7821997106148,6496400
2025-01-08,171.44662475585938,172.13086670201028,169.28483178012542,170.56405553885043,4527700
2025-01-10,170.2566375732422,172.01186485284057,169.31457173473913,170.96070161965392,5131200
2025-01-13,170.1376495361328,171.07971540394496,167.58909800167413,168.09483480277734,5610800
2025-01-14,175.3834686279297,176.41477943445616,170.96069669033818,171.66477584784926,6432700
2025-01-15,178.78480529785156,179.36989106169892,177.38658847191948,177.5750046389722,7397000
2025-01-16,178.2394256591797,181.35321040757506,177.1287658169334,180.1632166386398,6144700
2025-01-17,181.323486328125,181.66064421309778,178.45761404305355,179.27076042042333,5899100
2025-01-21,185.93463134765625,187.73944409900903,182.96958831246198,183.35633174040913,7508400
2025-01-22,186.78746032714844,187.66011841062374,185.05207035840075,186.50979914266077,7457800
2025-01-23,199.12359619140625,205.91639893119796,196.44614054464898,199.71857792879734,14403500
2025-01-24,195.10740661621094,201.30522766501053,193.8876796705989,200.80940198110656,7835700
2025-01-27,192.8365478515625,194.98842968482475,191.1309061450449,192.71753938807035,7674800
2025-01-28,192.80677795410156,194.90908924978172,190.188818815628,193.6695249771825,4858800
2025-01-29,197.4377899169922,198.2707734197916,193.3025904701976,193.3025904701976,5595800
2025-01-30,203.8538055419922,204.21078555483837,197.81463642419376,198.1418832340371,6282100
2025-01-31,201.8704833984375,204.151269520519,201.37465769687205,204.12152118893704,5507800
2025-02-03,202.40597534179688,203.02079439047765,197.3088875626238,198.33028733187092,4678300
2025-02-04,200.49208068847656,202.83237868994215,198.7566906701008,201.23581926778044,5413800
2025-02-05,202.87203979492188,203.5661927300528,200.10532398942988,202.177886859791,3239400
2025-02-06,204.3396759033203,204.37935043112563,202.35637319222312,203.28852788746264,3113200
2025-02-07,203.56619262695312,206.10481772065992,202.79270576657055,204.7561712482033,3954400
2025-02-10,203.50669860839844,204.93467902500245,201.7018858231352,204.4190160675845,3787500
2025-02-11,207.07664489746094,207.40387653163998,202.7332070852063,203.28852942749657,4110900
2025-02-12,207.88978576660156,209.6549239366559,204.41900608571288,204.9743284136313,4595200
2025-02-13,206.6204833984375,209.53594089438917,204.54793563317094,209.35743577657615,3763300
2025-02-14,206.53123474121094,207.4138038538641,203.25878219908833,206.9179781696455,4268500
2025-02-18,208.32614135742188,210.41852655156254,207.572491692142,208.1178878921811,4396000
2025-02-19,208.74264526367188,210.0119580006063,207.13617464098326,207.29482738454902,2699100
2025-02-20,206.99732971191406,208.52446629146257,205.4205924020434,207.9790549661237,2969100
2025-02-21,198.1616973876953,207.37413206432996,196.7833025726191,206.62048246166788,5419500
2025-02-24,197.0510711669922,201.55316220366362,195.7817433586709,200.93834313148665,4299100
2025-02-25,197.6063690185547,198.40960419211726,193.21334566378576,197.3187816530824,4121400
2025-02-26,199.92686462402344,202.89190813201995,198.32039399506152,200.07560630026012,3157400
2025-02-27,199.74835205078125,203.7546325376109,199.42112037523313,202.71339544848234,3480200
2025-02-28,205.25201416015625,205.58918715511652,199.35169102225697,200.26400854616037,6117400
2025-03-03,200.27392578125,206.73948209145897,199.13351757886122,205.36108723433838,5376400
2025-03-04,197.1105499267578,201.3448904438128,191.64654111426404,196.3469741239285,6164200
2025-03-05,200.8094024658203,202.76295687562936,197.03121316637615,197.20970314994085,6221200
2025-03-06,194.4132537841797,198.5484381742799,193.6496779937864,197.33862229442528,5621400
2025-03-07,192.23162841796875,194.11576001046586,186.11312601286306,193.44144432688566,7681300
2025-03-10,190.8705291748047,190.959955374715,186.68791769617116,187.96952141995808,6195000
2025-03-11,190.47312927246094,192.42037370923856,187.09524760728644,188.69476224343498,5356700
2025-03-12,193.7318115234375,195.96717857947718,191.17851832062007,193.65232998674307,4735000
2025-03-13,191.1685791015625,194.34776461006504,190.4234567874032,193.28473132483163,3837200
2025-03-14,195.82809448242188,196.41425377542052,192.34092724692366,194.09940512591962,3263200
2025-03-17,200.71607971191406,202.27587636162067,195.05315317261892,195.71879395219332,3733000
2025-03-18,199.484130859375,200.66639397348433,198.22240137551438,200.48757190221653,3983100
2025-03-19,204.23306274414062,205.47493324729984,200.0107030333992,200.0107030333992,3564000
2025-03-20,202.6037139892578,204.82915138724226,201.78905482256081,203.66676241601417,3970800
2025-03-21,202.80242919921875,202.9812512783514,199.5139584723814,201.28238088838185,7976300
2025-03-24,208.8627471923828,209.5085289582092,204.26286909697035,205.57427648250393,4043900
2025-03-25,210.75039672851562,211.3762891536402,208.88261864062483,209.39924101463652,4315200
