Date,Close,High,Low,Open,Volume
2025-01-02,167.18251037597656,169.27489549132125,165.82395276360677,166.51810573593443,4148000
2025-01-03,170.52438354492188,171.18878817550402,167.58908870621607,167.80725322746986,3975500
2025-01-06,171.0102996826172,172.23002680176538,169.75089802952854,171.70445271256327,4980300
2025-01-07,170.8714599609375,172.2498548795102,169.35423444378196,170.78221496143433,6496400
2025-01-08,171.4466094970703,172.13085138232353,169.28481671373643,170.5640403586102,4527700
2025-01-10,170.25662231445312,172.01184943674403,169.31455656038014,170.96068629776502,5131200
2025-01-13,170.13766479492188,171.07973074722315,167.58911303189643,168.09484987835663,5610800
2025-01-14,175.3834686279297,176.41477943445616,170.96069669033818,171.66477584784926,6432700
2025-01-15,178.78482055664062,179.36990637042345,177.38660361137462,177.57501979450814,7397000
2025-01-16,178.23944091796875,181.35322593293017,177.12878098064067,180.16323206212147,6144700
2025-01-17,181.32345581054688,181.66061363877444,178.45758400781494,179.27073024832842,5899100
2025-01-21,185.93463134765625,187.73944409900903,182.96958831246198,183.35633174040913,7508400
2025-01-22,186.78746032714844,187.66011841062374,185.05207035840075,186.50979914266077,7457800
2025-01-23,199.1236114501953,205.9164147105177,196.4461555982653,199.71859323317972,14403500
2025-01-24,195.10740661621094,201.30522766501053,193.8876796705989,200.80940198110656,7835700
2025-01-27,192.83651733398438,194.98839882669802,191.13087589739516,192.71750888932607,7674800
2025-01-28,192.8067626953125,194.90907382461506,190.18880376402504,193.66950965011534,4858800
2025-01-29,197.4377899169922,198.2707734197916,193.3025904701976,193.3025904701976,5595800
2025-01-30,203.85377502441406,204.21075498381916,197.8146068106989,198.14185357155233,6282100
2025-01-31,201.87049865722656,204.1512849517059,201.3746729181831,204.12153661787534,5507800
2025-02-03,202.40597534179688,203.02079439047765,197.3088875626238,198.33028733187092,4678300
2025-02-04,200.49208068847656,202.83237868994215,198.7566906701008,201.23581926778044,5413800
2025-02-05,202.87203979492188,203.5661927300528,200.10532398942988,202.177886859791,3239400
2025-02-06,204.3396759033203,204.37935043112563,202.35637319222312,203.28852788746264,3113200
2025-02-07,203.56619262695312,206.10481772065992,202.79270576657055,204.7561712482033,3954400
2025-02-10,203.50669860839844,204.93467902500245,201.7018858231352,204.4190160675845,3787500
2025-02-11,207.07667541503906,207.4039070974433,202.73323696267744,203.28855938680744,4110900
2025-02-12,207.88980102539062,209.6549393250034,204.4190210897521,204.9743434584303,4595200
2025-02-13,206.62049865722656,209.53595636848289,204.54795073890367,209.35745123748737,3763300
2025-02-14,206.53125,207.4138191778585,203.25879721610445,206.91799345700767,4268500
2025-02-18,208.32614135742188,210.41852655156254,207.572491692142,208.1178878921811,4396000
2025-02-19,208.74261474609375,210.0119272974583,207.13614435826656,207.29479707863774,2699100
2025-02-20,206.997314453125,208.52445092010078,205.4205772594834,207.97903963496685,2969100
2025-02-21,198.16171264648438,207.37414803249223,196.78331772526943,206.62049837179785,5419500
2025-02-24,197.05105590820312,201.55314659625196,195.78172819817314,200.9383275716839,4299100
2025-02-25,197.60638427734375,198.40961951293062,193.21336058335388,197.31879688966453,4121400
2025-02-26,199.92684936523438,202.8918926469333,198.32037885888127,200.0755910301188,3157400
2025-02-27,199.7483367919922,203.7546169727818,199.4211051414413,202.71337996319343,3480200
2025-02-28,205.25201416015625,205.58918715511652,199.35169102225697,200.26400854616037,6117400
2025-03-03,200.27391052246094,206.73946634006177,199.13350240695937,205.36107158796054,5376400
2025-03-04,197.11058044433594,201.34492161697136,191.64657078587877,196.34700452328627,6164200
2025-03-05,200.80941772460938,202.76297228286202,197.03122813807408,197.20971813520163,6221200
2025-03-06,194.4132537841797,198.5484381742799,193.6496779937864,197.33862229442528,5621400
2025-03-07,192.23162841796875,194.11576001046586,186.11312601286306,193.44144432688566,7681300
2025-03-10,190.8705291748047,190.959955374715,186.68791769617116,187.96952141995808,6195000
2025-03-11,190.47314453125,192.42038912402126,187.09526259547363,188.6947773597592,5356700
2025-03-12,193.7318115234375,195.96717857947718,191.17851832062007,193.65232998674307,4735000
2025-03-13,191.1685791015625,194.34776461006504,190.4234567874032,193.28473132483163,3837200
2025-03-14,195.82809448242188,196.41425377542052,192.34092724692366,194.09940512591962,3263200
2025-03-17,200.71609497070312,202.27589173898824,195.05316800090236,195.71880883107994,3733000
2025-03-18,199.484130859375,200.66639397348433,198.22240137551438,200.48757190221653,3983100
2025-03-19,204.23306274414062,205.47493324729984,200.0107030333992,200.0107030333992,3564000
2025-03-20,202.6037139892578,204.82915138724226,201.78905482256081,203.66676241601417,3970800
2025-03-21,202.80242919921875,202.9812512783514,199.5139584723814,201.28238088838185,7976300
2025-03-24,208.8627471923828,209.5085289582092,204.26286909697035,205.57427648250393,4043900
2025-03-25,210.75039672851562,211.3762891536402,208.88261864062483,209.39924101463652,4315200
