"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2026","77,569.39","77,395.63","77,639.54","77,340.53","12.25M","1.08%"
"07/09/2026","76,741.82","76,576.14","77,326.65","76,576.14","33.54M","0.31%"
"07/08/2026","76,503.60","77,816.45","77,851.18","76,259.03","13.82M","-2.15%"
"07/07/2026","78,180.72","78,461.16","78,664.92","78,031.04","16.74M","-0.13%"
"07/06/2026","78,285.07","77,940.90","78,398.06","77,879.70","23.60M","0.67%"
"07/03/2026","77,763.91","78,152.34","78,157.52","77,710.01","20.93M","0.34%"
"07/02/2026","77,502.12","77,083.14","77,578.93","77,063.95","22.62M","0.75%"
"07/01/2026","76,922.64","76,545.21","77,110.08","76,538.37","18.84M","0.58%"
"06/30/2026","76,478.67","77,005.51","77,037.36","76,329.39","23.37M","-0.33%"
"06/29/2026","76,728.37","77,055.21","77,252.78","76,621.75","18.95M","-0.48%"
"06/25/2026","77,100.47","77,391.07","77,803.18","76,993.16","47.51M","0.14%"
"06/24/2026","76,991.22","76,229.76","77,190.37","76,121.59","19.78M","1.04%"
"06/23/2026","76,200.68","77,086.05","77,194.83","76,082.51","12.21M","-1.16%"
"06/22/2026","77,094.07","77,160.67","77,325.56","77,008.02","13.36M","0.38%"
"06/19/2026","76,802.90","76,852.86","76,901.65","76,469.72","17.97M","-0.78%"
"06/18/2026","77,409.98","77,131.66","77,492.33","76,953.00","17.92M","0.33%"
"06/17/2026","77,155.62","77,080.09","77,218.99","76,768.49","17.83M","0.45%"
"06/16/2026","76,808.48","76,526.77","76,846.74","76,443.34","12.67M","0.71%"
"06/15/2026","76,264.33","76,725.27","76,821.07","76,140.44","18.49M","0.97%"
"06/12/2026","75,527.95","74,709.27","75,608.02","74,453.39","16.08M","2.30%"
"06/11/2026","73,832.55","73,615.99","74,394.34","73,518.75","27.47M","-0.20%"
"06/10/2026","73,983.18","73,988.27","74,613.01","73,897.57","16.67M","0.09%"
"06/09/2026","73,918.76","74,035.41","74,035.41","73,426.18","12.13M","0.54%"
"06/08/2026","73,524.26","73,421.61","73,934.35","73,318.94","17.64M","-0.97%"
"06/05/2026","74,243.34","74,629.94","74,717.57","73,988.75","18.04M","-0.16%"
"06/04/2026","74,360.01","73,935.83","74,544.24","73,807.30","19.22M","0.02%"
"06/03/2026","74,346.17","74,507.73","74,515.65","73,492.60","14.90M","-0.41%"
"06/02/2026","74,649.84","73,945.20","74,862.19","73,815.12","19.26M","0.52%"
"06/01/2026","74,267.34","75,203.02","75,367.93","74,203.68","13.54M","-0.68%"
"05/29/2026","74,775.74","75,988.51","76,220.02","74,589.11","19.55M","-1.44%"
"05/27/2026","75,867.80","75,939.86","76,224.68","75,748.21","26.02M","-0.19%"
"05/26/2026","76,009.70","76,224.14","76,627.04","75,909.68","11.49M","-0.63%"
"05/25/2026","76,488.96","76,135.82","76,559.07","76,097.02","11.59M","1.42%"
"05/22/2026","75,415.35","75,260.39","75,810.97","75,230.75","9.43M","0.31%"
"05/21/2026","75,183.36","75,732.42","75,945.79","74,996.78","20.63M","-0.18%"
"05/20/2026","75,318.39","74,806.49","75,406.18","74,529.41","11.46M","0.16%"
"05/19/2026","75,200.85","75,441.27","75,746.27","75,115.99","13.15M","-0.15%"
"05/18/2026","75,315.04","74,807.97","75,466.60","74,180.26","16.11M","0.10%"
"05/15/2026","75,237.99","75,497.10","75,870.36","75,139.41","15.22M","-0.21%"
"05/14/2026","75,398.72","74,947.12","75,681.88","74,526.77","35.83M","1.06%"
"05/13/2026","74,608.98","74,439.34","75,191.57","74,134.48","18.20M","0.07%"
"05/12/2026","74,559.24","75,688.39","75,741.96","74,449.50","15.16M","-1.92%"
"05/11/2026","76,015.28","76,638.09","76,678.52","75,957.40","23.90M","-1.70%"
"05/08/2026","77,328.19","77,631.94","77,647.44","77,146.43","13.23M","-0.66%"
"05/07/2026","77,844.52","78,339.24","78,384.70","77,713.21","21.45M","-0.15%"
"05/06/2026","77,958.52","77,424.36","78,022.78","76,773.25","14.99M","1.22%"
"05/05/2026","77,017.79","77,103.72","77,151.33","76,515.03","14.47M","-0.33%"
"05/04/2026","77,269.40","77,257.27","77,910.75","76,939.54","69.16M","0.46%"
"04/30/2026","76,913.50","77,014.21","77,254.33","76,258.86","27.86M","-0.75%"
"04/29/2026","77,496.36","77,245.83","77,982.51","77,136.20","17.88M","0.79%"
"04/28/2026","76,886.91","77,094.79","77,493.53","76,741.06","16.84M","-0.54%"
"04/27/2026","77,303.63","76,856.05","77,420.04","76,754.20","21.20M","0.83%"
"04/24/2026","76,664.21","77,483.80","77,710.82","76,403.87","14.13M","-1.29%"
"04/23/2026","77,664.00","77,983.66","78,178.54","77,574.18","24.87M","-1.09%"
"04/22/2026","78,516.49","79,019.34","79,031.03","78,442.30","16.86M","-0.95%"
"04/21/2026","79,273.33","78,617.16","79,367.08","78,522.96","10.88M","0.96%"
"04/20/2026","78,520.30","78,632.90","78,942.45","78,203.30","13.24M","0.03%"
"04/17/2026","78,493.54","77,976.13","78,553.45","77,726.23","14.24M","0.65%"
"04/16/2026","77,988.68","78,677.56","78,730.32","77,674.93","33.88M","-0.16%"
"04/15/2026","78,111.24","77,981.10","78,270.42","77,849.52","15.79M","1.64%"
"04/13/2026","76,847.57","75,937.16","77,063.41","75,868.32","19.30M","-0.91%"
"04/10/2026","77,550.25","77,121.01","77,622.50","76,851.16","16.24M","1.20%"
"04/09/2026","76,631.65","77,319.33","77,429.33","76,347.90","35.47M","-1.20%"
"04/08/2026","77,562.90","77,290.63","77,635.54","77,042.15","27.61M","3.95%"
"04/07/2026","74,616.58","73,734.36","74,686.32","73,282.41","13.37M","0.69%"
"04/06/2026","74,106.85","73,477.53","74,207.46","72,728.66","13.97M","1.07%"
"04/02/2026","73,319.55","72,262.05","73,568.54","71,545.81","32.97M","0.25%"
"04/01/2026","73,134.32","73,762.43","73,964.58","72,971.68","20.56M","1.65%"
"03/30/2026","71,947.55","72,565.22","73,165.32","71,774.13","26.57M","-2.22%"
"03/27/2026","73,583.22","74,883.79","74,904.91","73,534.41","28.82M","-2.25%"
