Date,close,open,high,low,volume
2020-01-01,675.9566091562889,680.0087898882745,670.3904712564104,672.2161254882812,14004468
2020-01-02,673.2849207275859,686.1762083080744,673.2849207275859,683.6602783203125,17710316
2020-01-03,682.6360013302883,686.4878350527088,678.1830672888824,684.4840087890625,20984698
2020-01-06,676.8472602327319,680.3650438391912,667.0507691289934,668.6093139648438,24519177
2020-01-07,676.4018734988883,683.3039746836643,673.9527657511211,678.8955688476562,16683622
2020-01-08,674.6207976476823,683.2817317108661,672.3943304886236,673.7969970703125,16047902
2020-01-09,685.1297254143482,690.206053788195,681.8568169732863,689.3154907226562,14982742
2020-01-10,691.0520831577536,693.7461255846073,685.5972357997355,689.1596069335938,12478359
2020-01-13,688.0018555733295,694.0800969009713,685.0406443123888,687.4006958007812,18282382
2020-01-14,685.7531846503401,690.2061193009722,677.6711159879618,681.0330810546875,15816535
2020-01-15,683.9052640096224,685.7086841864183,676.068070171922,678.5617065429688,15817859
2020-01-16,680.8548672498658,687.2448055274269,680.4095262908653,684.8179321289062,12847975
2020-01-17,691.7645940988411,705.7690846391494,691.6310096398801,704.0101928710938,29463471
2020-01-20,716.4784286658733,716.4784286658733,679.6971043882497,682.3466186523438,32545850
2020-01-21,680.6768744071713,688.3581898620575,677.7378970312928,683.0369262695312,18922720
2020-01-22,687.5343897202368,688.7589438110633,681.790078890447,682.7919921875,10322817
2020-01-23,684.1945779592724,686.6214514994721,677.1589513580537,679.8975219726562,11247739
2020-01-24,679.9642284408451,684.1277590740176,676.2015106061541,677.5374145507812,14628445
2020-01-27,674.5762817936037,678.8288097703885,670.1678160991427,670.8580322265625,13387750
2020-01-28,671.7708247894806,672.3942783497732,651.7326219117568,655.3617553710938,24532236
2020-01-29,656.385997983268,665.4477454950623,651.9330633649719,658.96875,24746565
2020-01-30,658.5901746274501,658.9018717010598,641.2237192109507,642.8935546875,22402689
2020-01-31,647.0125691802425,647.123919300985,626.6181376421537,628.5996704101562,34750310
2020-02-03,610.0085691432375,623.3896651574961,606.9583015760081,616.9551391601562,30712290
2020-02-04,623.4118752792756,637.8839401729988,622.4322559797637,635.1676635742188,25383901
2020-02-05,638.9526598272524,646.9234370233874,636.9043647870463,645.0086669921875,18472100
2020-02-06,647.5024215657478,653.2466727335321,641.268301219584,649.1499633789062,15538577
2020-02-07,646.121961162775,646.7231209827357,636.0137726868787,638.3961181640625,12209212
2020-02-10,635.8802065407942,643.6728717218461,628.0653070065835,639.2644653320312,15142476
2020-02-11,644.5188387872203,652.8903691202153,643.4723974955958,646.9011840820312,13999816
2020-02-12,648.4153034245885,656.742306925112,647.9031998730488,654.7161865234375,13533565
2020-02-13,658.0335539553153,658.0335539553153,651.2873305313852,656.4304809570312,13565659
2020-02-14,657.8109261027595,668.5870368609382,647.0570496970056,662.4197387695312,21227841
2020-02-17,663.0430895240688,670.6798756802237,656.4972728187931,658.2561645507812,13149130
2020-02-18,657.2097556655767,657.2097556655767,648.97180932506,653.4247436523438,11127161
2020-02-19,658.7459028384048,670.8133874435596,656.8534268552736,669.6333618164062,14084409
2020-02-20,666.605445844099,671.5036613641485,660.7275515499585,661.6849365234375,16892268
2020-02-24,654.4711971958799,657.699577615814,641.0233376549481,643.4279174804688,21370214
2020-02-25,646.3001152119884,646.3001152119884,627.864922735704,630.71484375,27745062
2020-02-26,627.8648537048206,628.9112950285784,617.7789594939649,619.8495483398438,29362748
2020-02-27,618.0683975689975,620.6511494965837,609.6078101962304,617.2891845703125,25054993
2020-02-28,603.3291656588368,604.2643163833105,590.0148903377343,591.6401977539062,39315769
2020-03-02,603.4181347083037,609.6077258365907,579.3722800369876,586.073974609375,29500495
2020-03-03,592.1077172942299,602.8838272617827,588.6789307113166,597.9633178710938,27398798
2020-03-04,602.0378717145262,602.8393785511545,582.400359715697,596.5607299804688,22105261
2020-03-05,602.1269086434213,604.6873667976507,581.5543059975552,583.8475952148438,30510390
2020-03-06,565.5236515774449,573.6057788366949,552.654658716733,565.9689331054688,33734039
2020-03-09,552.1870935973562,552.6101407818697,487.5971935340272,496.1245727539063,88187018
2020-03-11,493.3860202311153,524.7569973633897,493.3860202311153,513.669189453125,59578576
2020-03-12,483.1442695776424,490.26895266015714,466.9800738655829,473.3477783203125,55970485
2020-03-13,444.4036392808858,507.6354013912499,419.645302009186,492.1837158203125,73297403
2020-03-16,472.2567802513006,480.7841591374453,447.5206784786443,452.2853393554688,38482258
2020-03-17,466.3343420099244,472.0118595343903,446.7191567142074,448.8565673828125,45445979
2020-03-18,456.5601919681001,461.28032501489446,427.9277857781092,431.2674865722656,44730415
2020-03-19,409.7152202964063,430.59951868687136,397.2915088300032,408.6465148925781,61404010
2020-03-20,418.3539154289049,460.8349919401429,414.1236220114131,453.2872619628906,63360475
2020-03-23,407.9786036891489,423.0295668803202,389.92193040058896,393.6624145507813,40670949
2020-03-24,414.1236553813101,431.9354232678665,398.8946097412174,420.0906066894531,45734887
2020-03-25,429.17459327724464,512.778550360912,428.9296884312166,481.919677734375,73130298
2020-03-26,487.95339378494543,497.3491012446338,464.1524132137663,474.7726745605469,45744488
2020-03-27,487.5972184603352,493.0743302616386,465.86685415365895,474.5055541992188,41657940
2020-03-30,463.37318015277566,478.6022243792753,454.2001132600208,458.8534240722656,30229866
2020-03-31,478.2237612689132,503.0934193486525,466.668378147016,495.9464721679688,44292810
2020-04-01,499.7314374197435,500.7778787446454,465.4215441889714,481.1181640625,41597459
2020-04-03,505.1640473665368,505.1640473665368,470.36428521360847,479.7822570800781,41367807
2020-04-07,490.7587797499459,540.587180545846,489.8236588022936,537.0693969726562,54373624
2020-04-08,525.4471639311407,547.2666119015739,516.5412959187852,530.8574829101562,49880330
2020-04-09,540.5871800325931,548.9587106749909,531.2360300150857,543.2366943359375,33032857
2020-04-13,536.111950755027,541.0324597756588,525.4471322437827,529.5216064453125,23673784
2020-04-15,533.0394274350746,550.3836477833194,508.97127785494433,512.0215454101562,35321842
2020-04-16,512.0216140957893,528.7646769192855,509.8619687316648,520.1259765625,37455706
2020-04-17,541.4779097395257,547.7120308019884,531.0802568833083,545.0402221679688,33269335
2020-04-20,545.9306852340615,559.7347681895708,535.2436321732976,553.85693359375,36030932
2020-04-21,538.8060261793212,557.508386765965,518.3225393512134,550.98486328125,61371628
2020-04-22,587.788317456508,616.6879177572206,578.8824500723541,607.203125,142683366
2020-04-23,608.8730782936495,617.1110242514935,602.6166648338456,610.453857421875,65464502
2020-04-24,601.2140016546114,665.6926093550011,599.9003914322975,630.98193359375,134986308
2020-04-27,638.5519000387314,656.8089776563307,633.6536843523593,636.659423828125,58482901
2020-04-28,645.6766910891598,648.1035053145215,619.9164097345322,635.947021484375,78453401
2020-04-29,643.4056688448253,647.3019715047586,632.3178017703171,635.41259765625,37494672
2020-04-30,647.4356000405522,665.6926795202014,640.3554447044901,652.8013916015625,71345899
2020-05-04,641.2237145072914,652.3560500195231,631.1822890196224,639.0863037109375,53456868
2020-05-05,647.3242698899517,658.5901902105282,644.4298209519568,650.4190063476562,44903763
2020-05-06,651.9107566845831,661.2396721044524,643.6728107196592,650.4635620117188,40489094
2020-05-07,647.9030735523609,674.0195767371007,643.45013963793,671.0360717773438,50026966
2020-05-08,687.9796035544326,703.5203455803562,684.4617604589652,695.4605712890625,84262770
2020-05-11,703.564854514178,719.1501837188379,700.1361272712575,702.1399536132812,67085063
2020-05-12,696.79641276918,698.3772514173569,652.3560664564766,658.7014770507812,100683202
